Transaction Date,Posted Date,Amount,Category,Description
May 01 2025,May 03 2025,48.98,FOOD_AND_DRINK,Donation
May 02 2025,May 02 2025,60.12,SHOPPING,Salon
May 03 2025,May 03 2025,238.24,TRAVEL,Online Purchase
May 04 2025,May 04 2025,91.36,PERSONAL,Miscellaneous Charge
May 05 2025,May 05 2025,226.69,FEES_AND_ADJUSTMENTS,Salon
May 06 2025,May 07 2025,92.07,PROFESSIONAL_SERVICES,ATM Withdrawal
May 07 2025,May 07 2025,304.73,BILLS_AND_UTILITIES,Mobile Payment
May 08 2025,May 09 2025,114.76,ENTERTAINMENT,Clothing Store
May 09 2025,May 09 2025,41.63,SHOPPING,Gym Membership
May 10 2025,May 11 2025,243.47,TRAVEL,Electronics Store
May 11 2025,May 13 2025,54.31,GROCERIES,Restaurant
May 12 2025,May 14 2025,120.81,FEES_AND_ADJUSTMENTS,Miscellaneous Charge
May 13 2025,May 14 2025,233.05,SHOPPING,Utility Bill
May 14 2025,May 16 2025,95.02,FOOD_AND_DRINK,Restaurant
May 15 2025,May 15 2025,347.26,GROCERIES,ATM Withdrawal
May 16 2025,May 17 2025,256.1,GIFTS_AND_DONATIONS,Coffee Shop
May 17 2025,May 18 2025,145.33,FEES_AND_ADJUSTMENTS,ATM Withdrawal
May 18 2025,May 20 2025,374.98,FEES_AND_ADJUSTMENTS,Restaurant
May 19 2025,May 21 2025,255.82,PERSONAL,Donation
May 20 2025,May 20 2025,187.59,FOOD_AND_DRINK,Salon
May 21 2025,May 21 2025,275.42,TRAVEL,Donation
May 22 2025,May 22 2025,322.99,GROCERIES,ATM Withdrawal
May 23 2025,May 23 2025,88.34,PROFESSIONAL_SERVICES,Clothing Store
May 24 2025,May 24 2025,263.9,GROCERIES,Electronics Store
May 25 2025,May 25 2025,109.63,ENTERTAINMENT,Salon
May 26 2025,May 28 2025,108.78,PROFESSIONAL_SERVICES,Mobile Payment
May 27 2025,May 29 2025,162.76,ENTERTAINMENT,Subscription Service
May 28 2025,May 30 2025,199.94,TRAVEL,Grocery Store
May 29 2025,May 29 2025,252.84,FEES_AND_ADJUSTMENTS,Mobile Payment
May 30 2025,Jun 01 2025,30.09,GROCERIES,Miscellaneous Charge
May 31 2025,Jun 01 2025,214.0,PERSONAL,Online Purchase
Jun 01 2025,Jun 03 2025,289.69,FEES_AND_ADJUSTMENTS,Salon
Jun 02 2025,Jun 03 2025,308.6,GIFTS_AND_DONATIONS,Grocery Store
Jun 03 2025,Jun 04 2025,176.73,HEALTH_AND_WELLNESS,Online Purchase
Jun 04 2025,Jun 06 2025,350.96,FOOD_AND_DRINK,Pharmacy
Jun 05 2025,Jun 05 2025,205.53,SHOPPING,Gas Station
Jun 06 2025,Jun 08 2025,205.53,ENTERTAINMENT,Subscription Service
Jun 07 2025,Jun 08 2025,306.19,PERSONAL,Pharmacy
Jun 08 2025,Jun 08 2025,241.58,HEALTH_AND_WELLNESS,Online Purchase
Jun 09 2025,Jun 09 2025,371.99,FOOD_AND_DRINK,Donation
Jun 10 2025,Jun 10 2025,100.14,PROFESSIONAL_SERVICES,Restaurant
Jun 11 2025,Jun 11 2025,294.1,SHOPPING,Salon
Jun 12 2025,Jun 12 2025,55.71,HEALTH_AND_WELLNESS,Salon
Jun 13 2025,Jun 13 2025,109.7,PROFESSIONAL_SERVICES,Mobile Payment
Jun 14 2025,Jun 14 2025,371.92,ENTERTAINMENT,Gas Station
